"date","icu_unvac","icu_partial_vac","icu_full_vac","hospitalnonicu_unvac","hospitalnonicu_partial_vac","hospitalnonicu_full_vac"
"2021-08-10",22,3,0,23,4,11
"2021-08-11",37,5,2,34,7,8
"2021-08-12",45,5,2,44,7,9
"2021-08-13",52,5,3,65,6,8
"2021-08-14",53,4,1,67,6,11
"2021-08-15",44,6,1,58,4,14
"2021-08-16",48,9,1,55,4,17
"2021-08-17",54,6,3,67,8,15
"2021-08-18",58,6,5,80,10,16
"2021-08-19",55,7,6,76,9,14
"2021-08-20",68,7,5,86,11,20
"2021-08-21",67,9,7,103,9,23
"2021-08-22",59,9,8,83,7,24
"2021-08-23",63,10,8,102,9,23
"2021-08-24",71,10,7,131,13,28
"2021-08-25",81,9,9,137,11,30
"2021-08-26",89,9,10,138,14,31
"2021-08-27",89,8,9,141,16,27
"2021-08-28",89,7,8,149,19,30
"2021-08-29",69,9,11,119,15,35
"2021-08-30",72,8,11,118,13,35
"2021-08-31",87,8,10,152,19,34
"2021-09-01",93,6,11,163,14,37
"2021-09-02",90,8,14,143,12,28
"2021-09-03",103,8,12,145,17,34
"2021-09-04",106,7,12,153,16,33
"2021-09-05",94,7,13,129,13,28
"2021-09-06",93,7,12,136,14,25
"2021-09-07",94,5,9,135,13,32
"2021-09-08",114,7,8,162,14,28
"2021-09-09",108,8,11,149,9,34
"2021-09-10",112,9,14,163,18,31
"2021-09-11",103,8,15,159,12,42
"2021-09-12",87,9,12,141,11,33
"2021-09-13",78,7,10,126,9,28
"2021-09-14",108,9,9,146,8,40
"2021-09-15",117,10,10,148,7,35
"2021-09-16",118,10,13,150,9,30
"2021-09-17",120,9,13,135,10,32
"2021-09-18",116,10,11,132,10,35
"2021-09-19",99,7,10,100,11,35
"2021-09-20",98,8,7,104,8,30
"2021-09-21",109,9,9,118,11,29
"2021-09-22",102,10,9,123,8,28
"2021-09-23",108,12,12,117,9,33
"2021-09-24",110,11,11,120,10,38
"2021-09-25",105,11,7,129,9,42
"2021-09-26",95,9,6,105,6,41
"2021-09-27",85,7,7,104,6,39
"2021-09-28",107,9,8,116,8,38
"2021-09-29",99,10,8,123,7,32
"2021-09-30",93,10,8,125,10,32
"2021-10-01",94,8,7,115,10,28
"2021-10-02",94,8,7,115,8,31
"2021-10-03",84,6,8,95,10,28
"2021-10-04",77,6,8,96,10,26
"2021-10-05",78,8,8,106,8,41
"2021-10-06",75,7,12,121,11,46
"2021-10-07",74,10,14,95,12,49
"2021-10-08",73,11,14,104,11,41
"2021-10-09",64,6,14,92,12,38
"2021-10-10",58,6,16,87,6,36
"2021-10-11",64,6,16,86,6,36
"2021-10-12",70,6,22,95,9,34
"2021-10-13",68,6,14,101,11,33
"2021-10-14",80,6,13,99,13,35
"2021-10-15",82,7,16,97,9,38
"2021-10-16",77,3,18,100,9,32
"2021-10-17",79,5,21,99,8,36
"2021-10-18",77,5,22,91,8,36
"2021-10-19",77,4,26,104,10,35
"2021-10-20",76,6,23,113,10,31
"2021-10-21",65,7,20,126,7,40
"2021-10-22",75,8,21,114,11,36
